Entity,Code,Year,Solar Capacity
Africa,,1996,0.001112425208091736
Africa,,1997,0.0031372756958007813
Africa,,1998,0.0051621260643005375
Africa,,1999,0.00819940185546875
Africa,,2000,0.010927000045776368
Africa,,2001,0.013028999328613282
Africa,,2002,0.015243000030517578
Africa,,2003,0.018018999099731446
Africa,,2004,0.02199600028991699
Africa,,2005,0.025965000152587892
Africa,,2006,0.034268001556396484
Africa,,2007,0.046656002044677736
Africa,,2008,0.06337299728393554
Africa,,2009,0.10684500122070313
Africa,,2010,0.19384199523925782
Africa,,2011,0.26638800048828126
Africa,,2012,0.3459539794921875
Africa,,2013,0.6669730224609375
Africa,,2014,1.5731199951171875
Africa,,2015,1.930760986328125
Africa,,2016,2.9884169921875
Africa,,2017,4.71106298828125
Africa,,2018,7.21026806640625
Africa,,2019,8.4153193359375
Africa,,2020,9.703859375
Africa,,2021,10.3022607421875
Africa (BP),,1996,0.001012425184249878
Africa (BP),,1997,0.0030372755527496337
Africa (BP),,1998,0.005062126159667969
Africa (BP),,1999,0.008099401473999023
Africa (BP),,2000,0.010927000045776368
Africa (BP),,2001,0.013029000282287598
Africa (BP),,2002,0.015243000030517578
Africa (BP),,2003,0.018018999099731446
Africa (BP),,2004,0.02199600028991699
Africa (BP),,2005,0.025965000152587892
Africa (BP),,2006,0.034268001556396484
Africa (BP),,2007,0.04665599822998047
Africa (BP),,2008,0.06337300109863281
Africa (BP),,2009,0.10684500122070313
Africa (BP),,2010,0.19384199523925782
Africa (BP),,2011,0.26638800048828126
Africa (BP),,2012,0.3459540100097656
Africa (BP),,2013,0.6669730224609375
Africa (BP),,2014,1.5731199951171875
Africa (BP),,2015,1.930760986328125
Africa (BP),,2016,2.9884169921875
Africa (BP),,2017,4.71106298828125
Africa (BP),,2018,7.21026806640625
Africa (BP),,2019,8.4153193359375
Africa (BP),,2020,9.703859375
Africa (BP),,2021,10.302259765625001
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.001100000023841858
Algeria,DZA,2015,0.049099998474121095
Algeria,DZA,2016,0.21910000610351563
Algeria,DZA,2017,0.4
Algeria,DZA,2018,0.423
Algeria,DZA,2019,0.423
Algeria,DZA,2020,0.423
Algeria,DZA,2021,0.423
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.000025000000372529032
Argentina,ARG,2001,0.000026000000536441803
Argentina,ARG,2002,0.000026000000536441803
Argentina,ARG,2003,0.000026000000536441803
Argentina,ARG,2004,0.000026000000536441803
Argentina,ARG,2005,0.000026000000536441803
Argentina,ARG,2006,0.000026000000536441803
Argentina,ARG,2007,0.000026000000536441803
Argentina,ARG,2008,0.000026000000536441803
Argentina,ARG,2009,0.000026000000536441803
Argentina,ARG,2010,0.000026000000536441803
Argentina,ARG,2011,0.0012519999742507935
Argentina,ARG,2012,0.006251999855041504
Argentina,ARG,2013,0.008256999969482422
Argentina,ARG,2014,0.008251999855041504
Argentina,ARG,2015,0.008618000030517579
Argentina,ARG,2016,0.008805999755859375
Argentina,ARG,2017,0.008805999755859375
Argentina,ARG,2018,0.19123599243164063
Argentina,ARG,2019,0.44211099243164065
Argentina,ARG,2020,0.764135009765625
Argentina,ARG,2021,1.0713659667968751
Asia,,1996,0.061
Asia,,1997,0.09380000305175781
Asia,,1998,0.13930000305175783
Asia,,1999,0.22139999389648438
Asia,,2000,0.3711199951171875
Asia,,2001,0.5062300109863281
Asia,,2002,0.7121510009765625
Asia,,2003,0.9508200073242188
Asia,,2004,1.2410059814453125
Asia,,2005,1.610634033203125
Asia,,2006,1.9724849853515625
Asia,,2007,2.29897607421875
Asia,,2008,2.878010986328125
Asia,,2009,3.7645859375
Asia,,2010,5.62926416015625
Asia,,2011,9.8840498046875
