Entity,Code,Year,Wind Capacity
Belgium,BEL,2006,0.212
Belgium,BEL,2007,0.276
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.608
Belgium,BEL,2010,0.912
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.37
Belgium,BEL,2013,1.78
Belgium,BEL,2014,1.944
Belgium,BEL,2015,2.176
Belgium,BEL,2016,2.37
Belgium,BEL,2017,2.7875
Belgium,BEL,2018,3.2678999023437503
Belgium,BEL,2019,3.86339990234375
Belgium,BEL,2020,4.68089990234375
Belgium,BEL,2021,4.77964013671875
Brazil,BRA,1997,0.004
Brazil,BRA,1998,0.019
Brazil,BRA,1999,0.022
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.23700000000000002
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1.426
Brazil,BRA,2012,1.8940000000000001
Brazil,BRA,2013,2.20202001953125
Brazil,BRA,2014,4.88805322265625
Brazil,BRA,2015,7.633115234375
Brazil,BRA,2016,10.129155273437501
Brazil,BRA,2017,12.3042724609375
Brazil,BRA,2018,14.84309375
Brazil,BRA,2019,15.43837890625
Brazil,BRA,2020,17.19832421875
Brazil,BRA,2021,21.16126953125
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.03
Bulgaria,BGR,2008,0.114
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.488
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.677
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.6990000000000001
Bulgaria,BGR,2015,0.6990000000000001
Bulgaria,BGR,2016,0.6990000000000001
Bulgaria,BGR,2017,0.6983900146484375
Bulgaria,BGR,2018,0.6989199829101562
Bulgaria,BGR,2019,0.7031199951171875
Bulgaria,BGR,2020,0.7027999877929688
Bulgaria,BGR,2021,0.7047999877929688
CIS (BP),,2000,0.0032500000000000003
CIS (BP),,2001,0.0035999999046325685
CIS (BP),,2002,0.008100000381469727
CIS (BP),,2003,0.010100000381469727
CIS (BP),,2004,0.010100000381469727
CIS (BP),,2005,0.011100000381469726
CIS (BP),,2006,0.011100000381469726
CIS (BP),,2007,0.011899999618530274
CIS (BP),,2008,0.011899999618530274
CIS (BP),,2009,0.013899999618530274
CIS (BP),,2010,0.013899999618530274
CIS (BP),,2011,0.014
CIS (BP),,2012,0.0185
CIS (BP),,2013,0.023700000762939454
CIS (BP),,2014,0.07451000213623048
CIS (BP),,2015,0.11265499877929688
CIS (BP),,2016,0.18675999450683595
CIS (BP),,2017,0.22375
CIS (BP),,2018,0.33210000610351564
CIS (BP),,2019,0.5644500122070313
CIS (BP),,2020,1.6103499755859376
CIS (BP),,2021,3.30510009765625
Canada,CAN,1997,0.026000000000000002
Canada,CAN,1998,0.083
Canada,CAN,1999,0.126
Canada,CAN,2000,0.092
Canada,CAN,2001,0.131
Canada,CAN,2002,0.161
Canada,CAN,2003,0.327
Canada,CAN,2004,0.444
Canada,CAN,2005,0.677
Canada,CAN,2006,1.423
Canada,CAN,2007,1.84
Canada,CAN,2008,2.336
Canada,CAN,2009,3.282
Canada,CAN,2010,3.967
Canada,CAN,2011,5.265
Canada,CAN,2012,6.2010000000000005
Canada,CAN,2013,7.801
Canada,CAN,2014,9.694
Canada,CAN,2015,11.214
Canada,CAN,2016,11.973
Canada,CAN,2017,12.25
Canada,CAN,2018,12.816
Canada,CAN,2019,13.413
Canada,CAN,2020,13.6269599609375
Canada,CAN,2021,14.303559570312501
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.002
Chile,CHL,2002,0.002
Chile,CHL,2003,0.002
Chile,CHL,2004,0.002
Chile,CHL,2005,0.002
Chile,CHL,2006,0.002
Chile,CHL,2007,0.02
Chile,CHL,2008,0.02
Chile,CHL,2009,0.163
Chile,CHL,2010,0.163
Chile,CHL,2011,0.184
Chile,CHL,2012,0.202
Chile,CHL,2013,0.301
Chile,CHL,2014,0.736
Chile,CHL,2015,0.91
Chile,CHL,2016,1.039
Chile,CHL,2017,1.305
Chile,CHL,2018,1.524
Chile,CHL,2019,1.620073974609375
Chile,CHL,2020,2.14899609375
Chile,CHL,2021,3.137006103515625
China,CHN,1997,0.146
China,CHN,1998,0.2
China,CHN,1999,0.262
China,CHN,2000,0.341
China,CHN,2001,0.383
China,CHN,2002,0.449
China,CHN,2003,0.547
China,CHN,2004,0.763
China,CHN,2005,1.06
China,CHN,2006,2.07
China,CHN,2007,4.2
China,CHN,2008,8.3877275390625
China,CHN,2009,17.599408203125
China,CHN,2010,29.633478515625
China,CHN,2011,46.3546015625
China,CHN,2012,61.59687109375
China,CHN,2013,76.73053125
China,CHN,2014,96.8191328125
China,CHN,2015,131.0477265625
China,CHN,2016,148.516890625
China,CHN,2017,164.374484375
China,CHN,2018,184.664875
China,CHN,2019,209.58190625
China,CHN,2020,282.11265625
China,CHN,2021,328.9734375
Costa Rica,CRI,1997,0.023
Costa Rica,CRI,1998,0.027
Costa Rica,CRI,1999,0.035
Costa Rica,CRI,2000,0.0425
Costa Rica,CRI,2001,0.06229999923706055
Costa Rica,CRI,2002,0.06229999923706055
Costa Rica,CRI,2003,0.0685999984741211
Costa Rica,CRI,2004,0.0685999984741211
Costa Rica,CRI,2005,0.0685999984741211
Costa Rica,CRI,2006,0.0685999984741211
Costa Rica,CRI,2007,0.066
Costa Rica,CRI,2008,0.066
Costa Rica,CRI,2009,0.1155
Costa Rica,CRI,2010,0.1155
Costa Rica,CRI,2011,0.12830000305175782
Costa Rica,CRI,2012,0.14360000610351562
Costa Rica,CRI,2013,0.14360000610351562
Costa Rica,CRI,2014,0.19310000610351563
Costa Rica,CRI,2015,0.27210000610351565
Costa Rica,CRI,2016,0.3651000061035156
Costa Rica,CRI,2017,0.3778200073242188
Costa Rica,CRI,2018,0.4077699890136719
Costa Rica,CRI,2019,0.4109200134277344
Costa Rica,CRI,2020,0.39351998901367186
Costa Rica,CRI,2021,0.39351998901367186
Denmark,DNK,1997,1.116
Denmark,DNK,1998,1.42
Denmark,DNK,1999,1.738
Denmark,DNK,2000,2.390014892578125
Denmark,DNK,2001,2.497153076171875
Denmark,DNK,2002,2.894531005859375
Denmark,DNK,2003,3.119916015625
Denmark,DNK,2004,3.1237119140625
Denmark,DNK,2005,3.1278359375
Denmark,DNK,2006,3.135696044921875
Denmark,DNK,2007,3.124214111328125
Denmark,DNK,2008,3.1628701171875
Denmark,DNK,2009,3.4820869140625
Denmark,DNK,2010,3.8018291015625
Denmark,DNK,2011,3.95198095703125
Denmark,DNK,2012,4.16194091796875
Denmark,DNK,2013,4.8189228515625
Denmark,DNK,2014,4.8864028320312505
Denmark,DNK,2015,5.0769658203125
Denmark,DNK,2016,5.24514208984375
Denmark,DNK,2017,5.48894921875
Denmark,DNK,2018,6.1150458984375
Denmark,DNK,2019,6.10293994140625
Denmark,DNK,2020,6.259455078125
Denmark,DNK,2021,7.01356494140625
Egypt,EGY,1997,0.006
Egypt,EGY,1998,0.006
Egypt,EGY,1999,0.036000000000000004
Egypt,EGY,2000,0.074
Egypt,EGY,2001,0.074
Egypt,EGY,2002,0.074
Egypt,EGY,2003,0.074
Egypt,EGY,2004,0.15
Egypt,EGY,2005,0.15
Egypt,EGY,2006,0.23500000000000001
Egypt,EGY,2007,0.315
Egypt,EGY,2008,0.395
Egypt,EGY,2009,0.44
Egypt,EGY,2010,0.555
Egypt,EGY,2011,0.555
Egypt,EGY,2012,0.555
Egypt,EGY,2013,0.555
Egypt,EGY,2014,0.555
Egypt,EGY,2015,0.755
Egypt,EGY,2016,0.755
Egypt,EGY,2017,0.755
Egypt,EGY,2018,1.1300000000000001
Egypt,EGY,2019,1.1320000000000001
Egypt,EGY,2020,1.3800000000000001
Egypt,EGY,2021,1.6400000000000001
Europe,,1997,4.801
Europe,,1998,6.3741000976562505
Europe,,1999,9.2707998046875
Europe,,2000,12.733665039062501
Europe,,2001,17.395333984375
Europe,,2002,23.29401171875
Europe,,2003,28.160845703125002
Europe,,2004,34.328265625
Europe,,2005,40.69319140625
Europe,,2006,47.92780078125
Europe,,2007,56.34890625
Europe,,2008,64.06339453125
Europe,,2009,75.815640625
Europe,,2010,84.9283515625
Europe,,2011,94.7222265625
Europe,,2012,107.20096875
Europe,,2013,118.1838984375
Europe,,2014,130.21045312500002
Europe,,2015,142.9990625
Europe,,2016,155.732109375
Europe,,2017,170.571265625
Europe,,2018,181.88414062500001
Europe,,2019,196.35015625
Europe,,2020,208.73246875
Europe,,2021,223.9155
Europe (BP),,1997,4.8100000000000005
Europe (BP),,1998,6.38310009765625
Europe (BP),,1999,9.2797998046875
Europe (BP),,2000,12.749665039062501
Europe (BP),,2001,17.41133203125
Europe (BP),,2002,23.30601171875
Europe (BP),,2003,28.170845703125
Europe (BP),,2004,34.338265625
Europe (BP),,2005,40.704191406250004
Europe (BP),,2006,47.97680078125
Europe (BP),,2007,56.48490625
Europe (BP),,2008,64.41739453125
Europe (BP),,2009,76.597640625
Europe (BP),,2010,86.2383515625
Europe (BP),,2011,96.4412265625
Europe (BP),,2012,109.45196875
Europe (BP),,2013,120.9338984375
Europe (BP),,2014,133.830453125
Europe (BP),,2015,147.49115625000002
Europe (BP),,2016,161.472203125
Europe (BP),,2017,177.076515625
Europe (BP),,2018,188.837640625
Europe (BP),,2019,203.839421875
Europe (BP),,2020,216.619515625
Europe (BP),,2021,232.56745312500001
Finland,FIN,1997,0.012
Finland,FIN,1998,0.018000000000000002
Finland,FIN,1999,0.039
Finland,FIN,2000,0.038
Finland,FIN,2001,0.039
Finland,FIN,2002,0.043000000000000003
Finland,FIN,2003,0.052000000000000005
Finland,FIN,2004,0.082
Finland,FIN,2005,0.082
Finland,FIN,2006,0.08600000000000001
Finland,FIN,2007,0.11
Finland,FIN,2008,0.14300000000000002
Finland,FIN,2009,0.147
Finland,FIN,2010,0.197
Finland,FIN,2011,0.199
Finland,FIN,2012,0.257
Finland,FIN,2013,0.447
Finland,FIN,2014,0.627
Finland,FIN,2015,1.0050000000000001
Finland,FIN,2016,1.565
Finland,FIN,2017,2.044
Finland,FIN,2018,2.041
Finland,FIN,2019,2.2840000000000003
Finland,FIN,2020,2.586
Finland,FIN,2021,3.257
France,FRA,1997,0.013000000000000001
France,FRA,1998,0.021
France,FRA,1999,0.025
France,FRA,2000,0.038
France,FRA,2001,0.066
France,FRA,2002,0.138
France,FRA,2003,0.218
France,FRA,2004,0.358
France,FRA,2005,0.6900000000000001
France,FRA,2006,1.412
France,FRA,2007,2.223
France,FRA,2008,3.403
France,FRA,2009,4.582
France,FRA,2010,5.912
France,FRA,2011,6.75801611328125
France,FRA,2012,7.60749609375
France,FRA,2013,8.1559609375
France,FRA,2014,9.2014248046875
France,FRA,2015,10.2981796875
France,FRA,2016,11.566564453125
France,FRA,2017,13.499357421875
France,FRA,2018,14.900146484375
France,FRA,2019,16.456853515625
France,FRA,2020,17.484001953125
France,FRA,2021,18.676001953125
Germany,DEU,1997,2.089
Germany,DEU,1998,2.8770000000000002
Germany,DEU,1999,4.4350000000000005
Germany,DEU,2000,6.095
Germany,DEU,2001,8.754
Germany,DEU,2002,12.001
Germany,DEU,2003,14.381
Germany,DEU,2004,16.419
Germany,DEU,2005,18.248
Germany,DEU,2006,20.474
Germany,DEU,2007,22.116
Germany,DEU,2008,22.794
Germany,DEU,2009,25.732
Germany,DEU,2010,26.903000000000002
Germany,DEU,2011,28.712
Germany,DEU,2012,30.979
Germany,DEU,2013,33.477000000000004
Germany,DEU,2014,38.614000000000004
Germany,DEU,2015,44.58
Germany,DEU,2016,49.435
Germany,DEU,2017,55.58
Germany,DEU,2018,58.721000000000004
Germany,DEU,2019,60.742000000000004
Germany,DEU,2020,62.188
Germany,DEU,2021,63.76
Greece,GRC,1997,0.029
Greece,GRC,1998,0.03809999847412109
Greece,GRC,1999,0.10580000305175781
Greece,GRC,2000,0.226
Greece,GRC,2001,0.27
Greece,GRC,2002,0.28700000000000003
Greece,GRC,2003,0.371
Greece,GRC,2004,0.47000000000000003
Greece,GRC,2005,0.491
Greece,GRC,2006,0.749
Greece,GRC,2007,0.846
Greece,GRC,2008,1.022
Greece,GRC,2009,1.171
Greece,GRC,2010,1.298
Greece,GRC,2011,1.6400000000000001
Greece,GRC,2012,1.7530000000000001
Greece,GRC,2013,1.809
Greece,GRC,2014,1.978
Greece,GRC,2015,2.091
Greece,GRC,2016,2.37
Greece,GRC,2017,2.624
Greece,GRC,2018,2.8774951171875
Greece,GRC,2019,3.589
Greece,GRC,2020,4.11925
Greece,GRC,2021,4.45725
High-income countries,,1997,6.4450751953125005
High-income countries,,1998,8.6221748046875
High-income countries,,1999,11.936554687500001
High-income countries,,2000,15.336264648437501
High-income countries,,2001,21.634203125
High-income countries,,2002,28.230021484375
High-income countries,,2003,35.14590625
High-income countries,,2004,42.39180078125
High-income countries,,2005,52.0814453125
High-income countries,,2006,63.402605468750004
High-income countries,,2007,77.706015625
High-income countries,,2008,94.4201328125
High-income countries,,2009,117.299265625
High-income countries,,2010,131.76678125
High-income countries,,2011,148.997359375
High-income countries,,2012,175.1225
High-income countries,,2013,188.446546875
High-income countries,,2014,207.45534375
High-income countries,,2015,231.17796875
High-income countries,,2016,254.54793750000002
High-income countries,,2017,277.13321875
High-income countries,,2018,296.60190625
High-income countries,,2019,321.7496875
High-income countries,,2020,351.42278125
High-income countries,,2021,381.21184375
India,IND,1997,0.9400000000000001
India,IND,1998,0.992
India,IND,1999,1.035
India,IND,2000,0.9410000000000001
India,IND,2001,1.563
India,IND,2002,1.606
India,IND,2003,2.461
India,IND,2004,3.813
India,IND,2005,4.43389990234375
India,IND,2006,6.315
India,IND,2007,7.8445200195312506
India,IND,2008,10.2425
India,IND,2009,10.925
India,IND,2010,13.184000000000001
India,IND,2011,16.179000000000002
India,IND,2012,17.29969921875
India,IND,2013,18.420400390625
India,IND,2014,22.46530078125
India,IND,2015,25.088189453125
India,IND,2016,28.700439453125
India,IND,2017,32.8484609375
India,IND,2018,35.2881015625
India,IND,2019,37.505179687500004
India,IND,2020,38.5586015625
India,IND,2021,40.067265625
Iran,IRN,1997,0.009000000000000001
Iran,IRN,1998,0.009000000000000001
Iran,IRN,1999,0.009000000000000001
Iran,IRN,2000,0.011
Iran,IRN,2001,0.011
Iran,IRN,2002,0.012
Iran,IRN,2003,0.016
Iran,IRN,2004,0.024899999618530275
Iran,IRN,2005,0.037
Iran,IRN,2006,0.047
Iran,IRN,2007,0.063
Iran,IRN,2008,0.063
Iran,IRN,2009,0.092
Iran,IRN,2010,0.095
Iran,IRN,2011,0.09820999908447266
Iran,IRN,2012,0.10612999725341797
Iran,IRN,2013,0.10762999725341797
Iran,IRN,2014,0.14877999877929687
Iran,IRN,2015,0.15344000244140626
Iran,IRN,2016,0.19094000244140624
Iran,IRN,2017,0.259
Iran,IRN,2018,0.28200000000000003
Iran,IRN,2019,0.3049200134277344
Iran,IRN,2020,0.30807998657226565
Iran,IRN,2021,0.31020001220703125
Ireland,IRL,1997,0.053
Ireland,IRL,1998,0.064
Ireland,IRL,1999,0.074
Ireland,IRL,2000,0.1165
Ireland,IRL,2001,0.1229000015258789
Ireland,IRL,2002,0.13480000305175782
Ireland,IRL,2003,0.2103000030517578
Ireland,IRL,2004,0.3363999938964844
Ireland,IRL,2005,0.49329998779296874
Ireland,IRL,2006,0.6765
Ireland,IRL,2007,0.7405
Ireland,IRL,2008,0.9422999877929688
Ireland,IRL,2009,1.251300048828125
Ireland,IRL,2010,1.3904000244140626
Ireland,IRL,2011,1.5845999755859375
Ireland,IRL,2012,1.7043499755859375
Ireland,IRL,2013,1.923300048828125
Ireland,IRL,2014,2.2832500000000002
Ireland,IRL,2015,2.45114990234375
Ireland,IRL,2016,2.80164990234375
Ireland,IRL,2017,3.31914990234375
Ireland,IRL,2018,3.67385009765625
Ireland,IRL,2019,4.1264501953125
Ireland,IRL,2020,4.3067001953125
Ireland,IRL,2021,4.3320498046875
Italy,ITA,1997,0.10300000000000001
Italy,ITA,1998,0.197
Italy,ITA,1999,0.277
Italy,ITA,2000,0.363
Italy,ITA,2001,0.664
Italy,ITA,2002,0.78
Italy,ITA,2003,0.874
Italy,ITA,2004,1.127
Italy,ITA,2005,1.635
Italy,ITA,2006,1.9020000000000001
Italy,ITA,2007,2.702
Italy,ITA,2008,3.525
Italy,ITA,2009,4.8790000000000004
Italy,ITA,2010,5.7940000000000005
Italy,ITA,2011,6.918
Italy,ITA,2012,8.102
Italy,ITA,2013,8.542
Italy,ITA,2014,8.683
Italy,ITA,2015,9.137
Italy,ITA,2016,9.384
Italy,ITA,2017,9.736578125
Italy,ITA,2018,10.23024609375
Italy,ITA,2019,10.6794599609375
Italy,ITA,2020,10.8706220703125
Italy,ITA,2021,11.275622070312501
Japan,JPN,1997,0.017
Japan,JPN,1998,0.03
Japan,JPN,1999,0.068
Japan,JPN,2000,0.084
Japan,JPN,2001,0.17500000000000002
Japan,JPN,2002,0.277
Japan,JPN,2003,0.508
Japan,JPN,2004,0.769
Japan,JPN,2005,1.227
Japan,JPN,2006,1.805
Japan,JPN,2007,1.5270000000000001
Japan,JPN,2008,1.756
Japan,JPN,2009,1.997
Japan,JPN,2010,2.294
Japan,JPN,2011,2.419
Japan,JPN,2012,2.562
Japan,JPN,2013,2.646
Japan,JPN,2014,2.753
Japan,JPN,2015,2.8080000000000003
Japan,JPN,2016,3.247
Japan,JPN,2017,3.483
Japan,JPN,2018,3.498
Japan,JPN,2019,3.951
Japan,JPN,2020,4.371
Japan,JPN,2021,4.471
Jordan,JOR,2000,0.001399999976158142
Jordan,JOR,2001,0.001399999976158142
Jordan,JOR,2002,0.001399999976158142
Jordan,JOR,2003,0.001399999976158142
Jordan,JOR,2004,0.001399999976158142
Jordan,JOR,2005,0.001399999976158142
Jordan,JOR,2006,0.001399999976158142
Jordan,JOR,2007,0.001399999976158142
Jordan,JOR,2008,0.001399999976158142
Jordan,JOR,2009,0.001399999976158142
Jordan,JOR,2010,0.001399999976158142
Jordan,JOR,2011,0.001399999976158142
Jordan,JOR,2012,0.001399999976158142
Jordan,JOR,2013,0.001399999976158142
Jordan,JOR,2014,0.001399999976158142
Jordan,JOR,2015,0.11840000152587891
Jordan,JOR,2016,0.19839999389648438
Jordan,JOR,2017,0.19839999389648438
Jordan,JOR,2018,0.2803999938964844
Jordan,JOR,2019,0.373
Jordan,JOR,2020,0.5180100097656251
Jordan,JOR,2021,0.621510009765625
Lower-middle-income countries,,1997,0.9550000000000001
Lower-middle-income countries,,1998,1.0110000000000001
Lower-middle-income countries,,1999,1.108
Lower-middle-income countries,,2000,1.0956500244140626
Lower-middle-income countries,,2001,1.7488800048828126
Lower-middle-income countries,,2002,1.8028800048828126
Lower-middle-income countries,,2003,2.67877001953125
Lower-middle-income countries,,2004,4.132669921875
Lower-middle-income countries,,2005,4.8038701171875005
Lower-middle-income countries,,2006,6.77997021484375
Lower-middle-income countries,,2007,8.4708896484375
Lower-middle-income countries,,2008,10.9558701171875
Lower-middle-income countries,,2009,11.8566904296875
Lower-middle-income countries,,2010,14.2356904296875
Lower-middle-income countries,,2011,17.325900390625
Lower-middle-income countries,,2012,18.725984375
Lower-middle-income countries,,2013,20.2790859375
Lower-middle-income countries,,2014,25.255435546875
Lower-middle-income countries,,2015,28.28278515625
Lower-middle-income countries,,2016,32.32693359375
Lower-middle-income countries,,2017,36.894515625000004
Lower-middle-income countries,,2018,40.403625
Lower-middle-income countries,,2019,43.348625
Lower-middle-income countries,,2020,44.9774375
Lower-middle-income countries,,2021,47.23651953125
Mexico,MEX,1997,0.002
Mexico,MEX,1998,0.002
Mexico,MEX,1999,0.002
Mexico,MEX,2000,0.017
Mexico,MEX,2001,0.017
Mexico,MEX,2002,0.018000000000000002
Mexico,MEX,2003,0.018000000000000002
Mexico,MEX,2004,0.018000000000000002
Mexico,MEX,2005,0.018000000000000002
Mexico,MEX,2006,0.101
Mexico,MEX,2007,0.101
Mexico,MEX,2008,0.101
Mexico,MEX,2009,0.425
Mexico,MEX,2010,0.519
Mexico,MEX,2011,0.601
Mexico,MEX,2012,1.815
Mexico,MEX,2013,2.122
Mexico,MEX,2014,2.569
Mexico,MEX,2015,3.271
Mexico,MEX,2016,4.051
Mexico,MEX,2017,4.1993720703125
Mexico,MEX,2018,4.8756347656250005
Mexico,MEX,2019,6.050259765625
Mexico,MEX,2020,6.50443310546875
Mexico,MEX,2021,7.69152978515625
Middle East (BP),,1997,0.009000000000000001
Middle East (BP),,1998,0.009000000000000001
Middle East (BP),,1999,0.009000000000000001
Middle East (BP),,2000,0.012399999618530274
