Entity,Code,Year,Wind Generation - TWh,Solar Generation - TWh,Geo Biomass Other - TWh,Hydro Generation - TWh
Africa,,1965,0,,,13.905635833740234
Africa,,1966,0,,,15.510004043579102
Africa,,1967,0,,,16.190637588500977
Africa,,1968,0,,,18.93834114074707
Africa,,1969,0,,,22.10089111328125
Africa,,1970,0,,,27.630430221557617
Africa,,1971,0,0,0.164000004529953,26.013391494750977
Africa,,1972,0,0,0.16500000655651093,29.633195877075195
Africa,,1973,0,0,0.17000000178813934,31.345706939697266
Africa,,1974,0,0,0.17499999701976776,35.667076110839844
Africa,,1975,0,0,0.1720000058412552,37.71796798706055
Africa,,1976,0,0,0.1850000023841858,41.79763412475586
Africa,,1977,0,0,0.1889999955892563,45.928768157958984
Africa,,1978,0,0,0.19499999284744263,46.30693817138672
Africa,,1979,0,0,0.20100000500679016,49.56523132324219
Africa,,1980,0,0,0.2070000022649765,48.31178665161133
Africa,,1981,0,0,0.21799999475479126,50.19290542602539
Africa,,1982,0,0,0.23600000143051147,50.20623779296875
Africa,,1983,0,0,0.23000000417232513,45.247161865234375
Africa,,1984,0,0,0.23399999737739563,44.48997497558594
Africa,,1985,0,0,0.26899999380111694,49.449684143066406
Africa,,1986,0,0,0.6589999794960022,51.14537048339844
Africa,,1987,0,0,0.6579999923706055,49.056461334228516
Africa,,1988,0,0,0.6259999871253967,53.59345626831055
Africa,,1989,0,0,0.6169999837875366,56.276214599609375
Africa,,1990,0,0,0.7960000038146973,57.254661560058594
Africa,,1991,0,0,0.8119999766349792,60.6514892578125
Africa,,1992,0,0,0.8422499895095825,57.86029052734375
Africa,,1993,0.0020000000949949026,0,0.9376999735832214,56.6825065612793
Africa,,1994,0.005400000140070915,0,0.8349999785423279,57.596046447753906
Africa,,1995,0.006300000008195639,0,1.0187000036239624,59.76887893676758
Africa,,1996,0.0071000000461936,0,1.258092999458313,62.31645965576172
Africa,,1997,0.007199999876320362,0,1.3866404294967651,63.85249710083008
Africa,,1998,0.007600000128149986,0,1.7125492095947266,66.6548843383789
Africa,,1999,0.01979999989271164,0,1.696124792098999,70.68426513671875
Africa,,2000,0.17550000548362732,0.011940999887883663,2.2690632343292236,75.25581359863281
Africa,,2001,0.41558000445365906,0.014960000291466713,2.335352659225464,80.8691177368164
